"Woonplaats";"WoonplaatsCode";"Gemeente";"GemeenteCode";"Provincie";"ProvincieCode";"Landsdeel";"LandsdeelCode"
"Maashees";"WP1218";"Boxmeer";"GM0756";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Maasland";"WP2806";"Midden-Delfland";"GM1842";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Maassluis";"WP1069";"Maassluis";"GM0556";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Maastricht";"WP1406";"Maastricht";"GM0935";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Maastricht-Airport";"WP1672";"Beek";"GM0888";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Maasvlakte Rotterdam";"WP3084";"Rotterdam";"GM0599";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Macharen";"WP3252";"Oss";"GM0828";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Made";"WP2577";"Drimmelen";"GM1719";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Makkinga";"WP1760";"Ooststellingwerf";"GM0085";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Makkum";"WP2318";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Malden";"WP3494";"Heumen";"GM0252";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Mander";"WP1290";"Tubbergen";"GM0183";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Manderveen";"WP1291";"Tubbergen";"GM0183";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Mantgum";"WP2027";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Mantinge";"WP3016";"Midden-Drenthe";"GM1731";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Maren-Kessel";"WP3471";"Oss";"GM0828";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Margraten";"WP1694";"Eijsden-Margraten";"GM1903";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Maria Hoop";"WP2043";"Echt-Susteren";"GM1711";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Mariahout";"WP1448";"Laarbeek";"GM1659";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Mariaparochie";"WP1292";"Tubbergen";"GM0183";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Mariënberg";"WP1558";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Mariënheem";"WP1493";"Raalte";"GM0177";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Mariënvelde";"WP2230";"OostGelre";"GM1586";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Marijenkampen";"WP2705";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Markelo";"WP1444";"HofvanTwente";"GM1735";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Marken";"WP1943";"Waterland";"GM0852";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Markenbinnen";"WP3556";"Alkmaar";"GM0361";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Marknesse";"WP1274";"Noordoostpolder";"GM0171";"Flevoland";"PV24";"Oost-Nederland";"LD02"
"Marle";"WP1383";"Olst-Wijhe";"GM1773";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Marrum";"WP3208";"Noardeast-Fryslân";"GM1970";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Marsum";"WP2730";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Marum";"WP2263";"Westerkwartier";"GM1969";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Marwijksoord";"WP1170";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Mastenbroek";"WP2200";"Zwartewaterland";"GM1896";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Mastenbroek";"WP2901";"Kampen";"GM0166";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Matsloot";"WP1641";"Noordenveld";"GM1699";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Maurik";"WP3380";"Buren";"GM0214";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Mechelen";"WP1231";"Gulpen-Wittem";"GM1729";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Medemblik";"WP3151";"Medemblik";"GM0420";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Meeden";"WP2277";"Midden-Groningen";"GM1952";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Meedhuizen";"WP3240";"Delfzijl";"GM0010";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Meerkerk";"WP2108";"Vijfheerenlanden";"GM1961";"Utrecht";"PV26";"West-Nederland";"LD03"
"Meerlo";"WP1858";"HorstaandeMaas";"GM1507";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"De Meern";"WP3297";"Utrecht";"GM0344";"Utrecht";"PV26";"West-Nederland";"LD03"
"Meerssen";"WP1463";"Meerssen";"GM0938";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Meerstad";"WP3488";"Groningen";"GM0014";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Meeuwen";"WP1955";"Altena";"GM1959";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Megchelen";"WP1584";"OudeIJsselstreek";"GM1509";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Megen";"WP3251";"Oss";"GM0828";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Meijel";"WP2140";"PeelenMaas";"GM1894";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Melderslo";"WP1034";"HorstaandeMaas";"GM1507";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Melick";"WP2591";"Roerdalen";"GM1669";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Meliskerke";"WP2780";"Veere";"GM0717";"Zeeland";"PV29";"West-Nederland";"LD03"
"Melissant";"WP2379";"Goeree-Overflakkee";"GM1924";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Menaam";"WP2731";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Mensingeweer";"WP3421";"HetHogeland";"GM1966";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Meppel";"WP1082";"Meppel";"GM0119";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Meppen";"WP2157";"Coevorden";"GM0109";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Merkelbeek";"WP2847";"Beekdaelen";"GM1954";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Merselo";"WP2331";"Venray";"GM0984";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Meteren";"WP3530";"WestBetuwe";"GM1960";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Meterik";"WP1035";"HorstaandeMaas";"GM1507";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Metslawier";"WP3402";"Noardeast-Fryslân";"GM1970";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Mheer";"WP1695";"Eijsden-Margraten";"GM1903";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Middelaar";"WP2801";"MookenMiddelaar";"GM0944";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Middelburg";"WP1007";"Middelburg";"GM0687";"Zeeland";"PV29";"West-Nederland";"LD03"
"Middelharnis";"WP3143";"Goeree-Overflakkee";"GM1924";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Middelie";"WP1840";"Edam-Volendam";"GM0385";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Middelstum";"WP3450";"Loppersum";"GM0024";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Middenbeemster";"WP2170";"Beemster";"GM0370";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Middenmeer";"WP2434";"HollandsKroon";"GM1911";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Midlaren";"WP2926";"Tynaarlo";"GM1730";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Midlum";"WP2892";"Harlingen";"GM0072";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Midsland";"WP2619";"Terschelling";"GM0093";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Midwolda";"WP1897";"Oldambt";"GM1895";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Midwolde";"WP2343";"Westerkwartier";"GM1969";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Midwoud";"WP3152";"Medemblik";"GM0420";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Miedum";"WP1199";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Mierlo";"WP1127";"Geldrop-Mierlo";"GM1771";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Mijdrecht";"WP3549";"DeRondeVenen";"GM0736";"Utrecht";"PV26";"West-Nederland";"LD03"
"Mijnsheerenland";"WP2383";"HoekscheWaard";"GM1963";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Mildam";"WP2191";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Milheeze";"WP2091";"Gemert-Bakel";"GM1652";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Mill";"WP1976";"MillenSintHubert";"GM0815";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Millingen aan de Rijn";"WP2289";"BergenDal";"GM1945";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Milsbeek";"WP2479";"Gennep";"GM0907";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Minnertsga";"WP3333";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Mirns";"WP1678";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Moddergat";"WP3403";"Noardeast-Fryslân";"GM1970";"Friesland";"PV21";"Noord-Nederland";"LD01"
"De Moer";"WP3054";"LoonopZand";"GM0809";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Moerdijk";"WP1322";"Moerdijk";"GM1709";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Moergestel";"WP2647";"Oisterwijk";"GM0824";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Moerkapelle";"WP1212";"Zuidplas";"GM1892";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Moerstraten";"WP1593";"Roosendaal";"GM1674";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Molenaarsgraaf";"WP1983";"Molenlanden";"GM1978";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Molenhoek";"WP2802";"MookenMiddelaar";"GM0944";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Molenschot";"WP2069";"GilzeenRijen";"GM0784";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Molkwerum";"WP1967";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Monnickendam";"WP1944";"Waterland";"GM0852";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Monster";"WP2659";"Westland";"GM1783";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Montfoort";"WP1964";"Montfoort";"GM0335";"Utrecht";"PV26";"West-Nederland";"LD03"
"Montfort";"WP2592";"Roerdalen";"GM1669";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Mook";"WP2803";"MookenMiddelaar";"GM0944";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Mookhoek";"WP2796";"HoekscheWaard";"GM1963";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Moordrecht";"WP1244";"Zuidplas";"GM1892";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Moorveld";"WP1464";"Meerssen";"GM0938";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Morra";"WP3404";"Noardeast-Fryslân";"GM1970";"Friesland";"PV21";"Noord-Nederland";"LD01"
"De Mortel";"WP2093";"Gemert-Bakel";"GM1652";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Muiden";"WP3632";"GooiseMeren";"GM1942";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Muiderberg";"WP1519";"GooiseMeren";"GM1942";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Mûnein";"WP2446";"Tytsjerksteradiel";"GM0737";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Munnekeburen";"WP1725";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Munnekezijl";"WP3312";"Noardeast-Fryslân";"GM1970";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Munstergeleen";"WP2816";"Sittard-Geleen";"GM1883";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Muntendam";"WP2278";"Midden-Groningen";"GM1952";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Mussel";"WP3077";"Stadskanaal";"GM0037";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Musselkanaal";"WP3075";"Stadskanaal";"GM0037";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Naaldwijk";"WP2660";"Westland";"GM1783";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Naarden";"WP1052";"GooiseMeren";"GM1942";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Nagele";"WP1278";"Noordoostpolder";"GM0171";"Flevoland";"PV24";"Oost-Nederland";"LD02"
"Nederasselt";"WP3497";"Heumen";"GM0252";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Nederhemert";"WP2633";"Zaltbommel";"GM0297";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Nederhorst den Berg";"WP3003";"Wijdemeren";"GM1696";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Nederland";"WP2706";"Steenwijkerland";"GM1708";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Nederweert";"WP2037";"Nederweert";"GM0946";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Nederweert-Eind";"WP2039";"Nederweert";"GM0946";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Neede";"WP1656";"Berkelland";"GM1859";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Neer";"WP2952";"Leudal";"GM1640";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Neerijnen";"WP3363";"WestBetuwe";"GM1960";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Neeritter";"WP2953";"Leudal";"GM1640";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Neerkant";"WP1777";"Deurne";"GM0762";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Neerlangel";"WP3261";"Oss";"GM0828";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Neerloon";"WP3262";"Oss";"GM0828";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Nes";"WP3603";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nes";"WP2588";"Ameland";"GM0060";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nes";"WP3405";"Noardeast-Fryslân";"GM1970";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Netersel";"WP1068";"Bladel";"GM1728";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Netterden";"WP1583";"OudeIJsselstreek";"GM1509";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Niawier";"WP3406";"Noardeast-Fryslân";"GM1970";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nibbixwoud";"WP3153";"Medemblik";"GM0420";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Niebert";"WP2264";"Westerkwartier";"GM1969";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Niehove";"WP2121";"Westerkwartier";"GM1969";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Niekerk";"WP2178";"Westerkwartier";"GM1969";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Niekerk";"WP3422";"HetHogeland";"GM1966";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Nietap";"WP1642";"Noordenveld";"GM1699";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuw Annerveen";"WP1171";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuw Beerta";"WP1421";"Oldambt";"GM1895";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Nieuw- en Sint Joosland";"WP1009";"Middelburg";"GM0687";"Zeeland";"PV29";"West-Nederland";"LD03"
"Nieuw Heeten";"WP1499";"Raalte";"GM0177";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Nieuw Namen";"WP3093";"Hulst";"GM0677";"Zeeland";"PV29";"West-Nederland";"LD03"
"Nieuw Scheemda";"WP1894";"Oldambt";"GM1895";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Nieuwaal";"WP2634";"Zaltbommel";"GM0297";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Nieuw-Amsterdam";"WP1993";"Emmen";"GM0114";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuw-Balinge";"WP3018";"Midden-Drenthe";"GM1731";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuw-Beijerland";"WP2887";"HoekscheWaard";"GM1963";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Nieuw-Buinen";"WP1797";"Borger-Odoorn";"GM1681";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuw-Dordrecht";"WP1994";"Emmen";"GM0114";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuwdorp";"WP1259";"Borsele";"GM0654";"Zeeland";"PV29";"West-Nederland";"LD03"
"Nieuwe Niedorp";"WP2518";"HollandsKroon";"GM1911";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Nieuwe Pekela";"WP1398";"Pekela";"GM0765";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Nieuwe Wetering";"WP3037";"KaagenBraassem";"GM1884";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Nieuwebrug";"WP2496";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nieuwediep";"WP1172";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuwegein";"WP1108";"Nieuwegein";"GM0356";"Utrecht";"PV26";"West-Nederland";"LD03"
"Nieuwehorne";"WP2194";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nieuwendijk";"WP2216";"Altena";"GM1959";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Nieuwer Ter Aa";"WP1394";"StichtseVecht";"GM1904";"Utrecht";"PV26";"West-Nederland";"LD03"
"Nieuwerbrug aan den Rijn";"WP2666";"Bodegraven-Reeuwijk";"GM1901";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Nieuwerkerk";"WP2680";"Schouwen-Duiveland";"GM1676";"Zeeland";"PV29";"West-Nederland";"LD03"
"Nieuwerkerk aan den IJssel";"WP1016";"Zuidplas";"GM1892";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Nieuweroord";"WP1815";"Hoogeveen";"GM0118";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuweroord";"WP3017";"Midden-Drenthe";"GM1731";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuwersluis";"WP2221";"StichtseVecht";"GM1904";"Utrecht";"PV26";"West-Nederland";"LD03"
"Nieuweschoot";"WP2187";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nieuwe-Tonge";"WP3144";"Goeree-Overflakkee";"GM1924";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Nieuwkoop";"WP2667";"Nieuwkoop";"GM0569";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Nieuwkuijk";"WP3502";"Heusden";"GM0797";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Nieuwland";"WP2111";"Vijfheerenlanden";"GM1961";"Utrecht";"PV26";"West-Nederland";"LD03"
"Nieuwlande";"WP1816";"Hoogeveen";"GM0118";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuwlande Coevorden";"WP2158";"Coevorden";"GM0109";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuw-Lekkerland";"WP2795";"Molenlanden";"GM1978";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Nieuwleusen";"WP1239";"Dalfsen";"GM0148";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Nieuwolda";"WP1896";"Oldambt";"GM1895";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Nieuwpoort";"WP1807";"Molenlanden";"GM1978";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Nieuw-Roden";"WP1643";"Noordenveld";"GM1699";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuw-Schoonebeek";"WP1995";"Emmen";"GM0114";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nieuwstadt";"WP2047";"Echt-Susteren";"GM1711";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Nieuwveen";"WP2670";"Nieuwkoop";"GM0569";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Nieuw-Vennep";"WP1602";"Haarlemmermeer";"GM0394";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Nieuwvliet";"WP2969";"Sluis";"GM1714";"Zeeland";"PV29";"West-Nederland";"LD03"
"Nieuw-Vossemeer";"WP1404";"Steenbergen";"GM0851";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Nieuw-Weerdinge";"WP1996";"Emmen";"GM0114";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Niezijl";"WP2122";"Westerkwartier";"GM1969";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Niftrik";"WP2569";"Wijchen";"GM0296";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Nigtevecht";"WP2222";"StichtseVecht";"GM1904";"Utrecht";"PV26";"West-Nederland";"LD03"
"Nij Altoenae";"WP3330";"Waadhoeke";"GM1949";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nij Beets";"WP3352";"Opsterland";"GM0086";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijbroek";"WP2607";"Voorst";"GM0285";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Nijeberkoop";"WP1761";"Ooststellingwerf";"GM0085";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijega";"WP3284";"Smallingerland";"GM0090";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijehaske";"WP3521";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijeholtpade";"WP1726";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijeholtwolde";"WP1727";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijelamer";"WP1728";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijemirdum";"WP1679";"DeFryskeMarren";"GM1940";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijensleek";"WP3116";"Westerveld";"GM1701";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nijetrijne";"WP1729";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijeveen";"WP1083";"Meppel";"GM0119";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nijhuizum";"WP1972";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijkerk";"WP3606";"Nijkerk";"GM0267";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Nijkerkerveen";"WP3607";"Nijkerk";"GM0267";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Nijland";"WP2414";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nijlande";"WP1173";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Nijmegen";"WP3030";"Nijmegen";"GM0268";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Nijverdal";"WP3584";"Hellendoorn";"GM0163";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Nispen";"WP1591";"Roosendaal";"GM1674";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Nisse";"WP1260";"Borsele";"GM0654";"Zeeland";"PV29";"West-Nederland";"LD03"
"Nistelrode";"WP3062";"Bernheze";"GM1721";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Noardburgum";"WP2450";"Tytsjerksteradiel";"GM0737";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nooitgedacht";"WP1174";"AaenHunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Noorbeek";"WP1696";"Eijsden-Margraten";"GM1903";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Noordbeemster";"WP2171";"Beemster";"GM0370";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Noordbroek";"WP2279";"Midden-Groningen";"GM1952";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Noordeinde";"WP1905";"Alkmaar";"GM0361";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Noordeinde Gld";"WP3070";"Oldebroek";"GM0269";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Noordeloos";"WP1436";"Molenlanden";"GM1978";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Noorden";"WP2668";"Nieuwkoop";"GM0569";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Noordgouwe";"WP2681";"Schouwen-Duiveland";"GM1676";"Zeeland";"PV29";"West-Nederland";"LD03"
"Noordhoek";"WP1325";"Moerdijk";"GM1709";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Noordhorn";"WP2123";"Westerkwartier";"GM1969";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Noordlaren";"WP1268";"Groningen";"GM0014";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Noord-Scharwoude";"WP1118";"Langedijk";"GM0416";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Noordscheschut";"WP1817";"Hoogeveen";"GM0118";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Noord-Sleen";"WP2159";"Coevorden";"GM0109";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Noordwelle";"WP2682";"Schouwen-Duiveland";"GM1676";"Zeeland";"PV29";"West-Nederland";"LD03"
"Noordwijk";"WP2265";"Westerkwartier";"GM1969";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Noordwijk";"WP2061";"Noordwijk";"GM0575";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Noordwijkerhout";"WP1927";"Noordwijk";"GM0575";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Noordwolde";"WP2830";"HetHogeland";"GM1966";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Noordwolde";"WP1730";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Nootdorp";"WP1142";"Pijnacker-Nootdorp";"GM1926";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Norg";"WP1644";"Noordenveld";"GM1699";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Notter";"WP1090";"Wierden";"GM0189";"Overijssel";"PV23";"Oost-Nederland";"LD02"
